label,disease_name,description,solution
Pepper_bell___Bacterial_spot,Bacterial Spot (Pepper Bell),Bacterial disease caused by Xanthomonas species resulting in small dark water-soaked lesions on leaves stems and fruits which later turn brown and scabby leading to defoliation and fruit drop especially in warm humid conditions,"Use certified disease-free seeds and resistant varieties apply copper-based bactericides combined with mancozeb or streptomycin remove and destroy infected plants avoid overhead irrigation practice crop rotation for at least 2 to 3 years disinfect tools with bleach solution apply balanced fertilization ensure proper spacing improve air circulation use biological control agents like Bacillus subtilis"
Pepper_bell___healthy,Healthy Pepper Plant,Plant shows vigorous growth with bright green leaves strong stems and no visible symptoms of pests or diseases indicating optimal nutrient and water management,"Maintain soil fertility with organic compost ensure proper irrigation and drainage apply mulching to conserve moisture conduct regular scouting for pests and diseases apply preventive bio-fungicides such as Trichoderma or Bacillus species follow balanced NPK fertilization and proper plant spacing"
Potato___Early_blight,Early Blight (Potato),Fungal disease caused by Alternaria solani characterized by brown concentric ring spots on older leaves leading to yellowing defoliation and reduced tuber yield under warm conditions,"Apply fungicides such as chlorothalonil mancozeb azoxystrobin or difenoconazole remove and destroy infected leaves practice crop rotation use resistant varieties ensure good air circulation avoid water stress apply organic compost and preventive sprays at early growth stages"
Potato___Late_blight,Late Blight (Potato),Serious fungal disease caused by Phytophthora infestans producing dark irregular blotches on leaves white mold growth underneath and rapid plant collapse in cool humid weather,"Apply systemic fungicides like metalaxyl cymoxanil or fosetyl-Al in combination with contact fungicides remove and destroy infected plants avoid overhead irrigation plant certified seed potatoes monitor weather conditions apply preventive sprays during high humidity ensure proper field drainage and destroy infected tubers after harvest"
Potato___healthy,Healthy Potato Plant,Plant exhibits uniform green foliage sturdy stems and proper tuber development without any visible lesions discoloration or pest infestation,"Use certified disease-free seed potatoes maintain proper plant spacing apply balanced fertilization especially potassium and phosphorus ensure regular irrigation without waterlogging monitor fields regularly and adopt preventive fungicide programs when necessary"
Tomato___Bacterial_spot,Bacterial Spot (Tomato),Bacterial disease caused by Xanthomonas species leading to small dark raised spots on leaves stems and fruits which may cause leaf drop and fruit blemishes during warm wet conditions,"Apply copper-based bactericides mixed with zinc or mancozeb avoid overhead irrigation remove infected plants rotate crops for 2 to 3 years use resistant varieties disinfect tools manage weeds that host bacteria apply streptomycin sprays at early stages and ensure proper plant nutrition"
Tomato___Early_blight,Early Blight (Tomato),Fungal infection caused by Alternaria solani producing brown leaf spots with concentric rings leading to premature leaf drop reduced fruit size and yield loss,"Apply fungicides such as mancozeb chlorothalonil azoxystrobin or propiconazole remove infected leaves mulch soil to prevent fungal splash improve air circulation rotate crops apply organic bio-fungicides like Trichoderma harzianum maintain balanced fertilization"
Tomato___Late_blight,Late Blight (Tomato),Destructive disease caused by Phytophthora infestans characterized by dark greasy lesions white fungal growth rapid wilting and plant death in cool moist conditions,"Use preventive and curative fungicides like metalaxyl cymoxanil ametoctradin or fluopicolide remove infected plants avoid prolonged leaf wetness monitor weather alerts plant resistant varieties ensure proper spacing and destroy crop debris after harvest"
Tomato___Leaf_Mold,Leaf Mold (Tomato),Fungal disease caused by Passalora fulva showing yellow spots on upper leaf surface with olive green or gray mold underneath leading to leaf curling and drop in high humidity environments,"Reduce humidity and improve greenhouse ventilation avoid dense planting apply fungicides like chlorothalonil mancozeb or copper oxychloride use resistant varieties remove infected leaves early and apply preventive sulfur sprays"
Tomato___Septoria_leaf_spot,Septoria Leaf Spot,Fungal disease caused by Septoria lycopersici resulting in numerous small circular spots with gray centers and dark margins primarily on lower leaves leading to defoliation,"Remove infected lower leaves apply fungicides like mancozeb chlorothalonil or copper hydroxide mulch soil avoid overhead watering rotate crops for 2 years practice strict field sanitation and apply preventive sprays during rainy season"
Tomato___Spider_mites_Two_spotted_spider_mite,Two Spotted Spider Mite,Tetranychus urticae infestation causing yellow stippling bronzing and fine webbing on leaves leading to reduced photosynthesis and plant vigor under hot dry conditions,"Apply neem oil insecticidal soap or horticultural oils introduce natural predators like lady beetles and predatory mites maintain field humidity use miticides such as abamectin or spiromesifen if infestation is severe remove heavily infested leaves and avoid excessive nitrogen fertilization"
Tomato___Target_Spot,Target Spot (Tomato),Fungal disease caused by Corynespora cassiicola producing brown target-like lesions on leaves stems and fruits reducing market quality and yield,"Apply fungicides like chlorothalonil azoxystrobin or boscalid remove infected debris improve air circulation rotate crops avoid overhead irrigation maintain proper plant nutrition and apply preventive fungicide schedule"
Tomato___Tomato_YellowLeaf_Curl_Virus,Yellow Leaf Curl Virus,Viral disease transmitted by whiteflies causing upward leaf curling yellowing stunted growth flower drop and severe yield reduction,"Control whiteflies using yellow sticky traps neem oil imidacloprid or thiamethoxam remove infected plants immediately use virus-resistant varieties maintain weed-free fields use reflective mulches apply systemic insecticides when necessary and practice crop rotation"
Tomato___Tomato_mosaic_virus,Tomato Mosaic Virus,Highly contagious viral disease causing mottled light and dark green mosaic patterns leaf distortion reduced fruit size and overall stunted growth spread through contact and contaminated tools,"Remove and destroy infected plants disinfect tools with bleach solution avoid handling plants after tobacco use use resistant varieties practice strict field hygiene treat seeds with hot water or trisodium phosphate solution and control mechanical transmission"
Tomato___healthy,Healthy Tomato Plant,Plant shows vigorous vegetative growth strong stems deep green leaves proper flowering and fruit setting without any visible disease or pest symptoms,"Maintain balanced fertilization proper irrigation mulching regular pest and disease monitoring crop rotation preventive bio-fungicide sprays such as Bacillus subtilis and Trichoderma ensure proper staking and pruning for air circulation"
